text,label
hal sle7 msh mazbout,4
hal dawe bydarreb,2
yalla bye nshoufak,0
white sahra weekend,3
fi ma3k shafra?,4
hal dawe bydarreb,2
ana ta3ban kteer,0
ma3ak piece?,4
ma3ak piece?,4
ma fi mood lal sahra,0
ma ba3ref shu baddak,0
hal white raw2a,3
hbboub jdide,2
hal dawe bydarreb,2
hal joint msh mazbout,1
bade piece lal himeye,4
badde nnam,0
saye2 piece,4
fi dawe safi?,2
fi mdarreb pills?,2
hal white raw2a,3
badde nrou7 3al sou2,0
ma3ak stuff white,3
hal white raw2a,3
bade piece lal himeye,4
bade coke la sahra,3
2oltello nhki bokra,0
ma3ak stuff white,3
3andak snow ndife?,3
piece sahra,4
nredd deal lal sahra,1
hash lyoum premium,1
snow sahra lyoum,3
fi delivery snow?,3
fi sle7 bl manta2a,4
3am n2os blunt ma3 shabeb,1
fi sle7 bl manta2a,4
ana jeye,0
shu ra2yak bhal jaw,0
saye2 piece,4
hal sle7 msh mazbout,4
mabsout kteer,0
pills lal mood,2
ween fi bda3a?,1
hal coke bydarreb,3
ma fi mood lal sahra,0
fi mdarreb pills?,2
keef el sha8el ma3ak,0
baddak nrou7 sou2,0
hash lyoum premium,1
ma fiya mood,0
hal dawe bydarreb,2
ma3ak chi capsule,2
bta3ref hada ma3o gun,4
ana ta3ban kteer,0
bade piece lal himeye,4
nredd deal lal sahra,1
ma3ak chi capsule,2
bluntt w jaw,1
3andak weed ndife lal sahra?,1
raye7 3al gym,0
hbboub jdide,2
white sahra weekend,3
hash tripoli original,1
ma3ak drop wahde?,1
bade piece lal himeye,4
3am n2os blunt ma3 shabeb,1
saye2 piece,4
bade piece lal himeye,4
nrou7 cinema lyoum?,0
7abba la nertah shway,2
ma fi shi jdide,0
badna nenzal baher,0
hash lyoum premium,1
weed sahra weekend,1
hal sle7 msh mazbout,4
3andak weed ndife lal sahra?,1
saye2 piece,4
fi dawe safi?,2
bluntt w jaw,1
bade piece lal himeye,4
ma fiya mood,0
